points,x,y
0,-0.152564,51.503921
500,-0.152886,51.503413
1000,-0.15368,51.50316
1500,-0.156469,51.502906
2000,-0.160289,51.502612
2500,-0.168014,51.502225
3000,-0.174515,51.502171
3500,-0.174687,51.502692
4000,-0.174301,51.503881
4500,-0.173271,51.505283
5000,-0.172992,51.505884
5500,-0.172477,51.506525
6000,-0.171769,51.506752
6500,-0.170588,51.506432
7000,-0.16958,51.506111
7500,-0.167155,51.506018
8000,-0.163958,51.506018
8500,-0.163143,51.505911
9000,-0.161533,51.505697
9500,-0.160117,51.50535
10000,-0.152628,51.503938
10500,-0.152628,51.503938
11000,-0.152628,51.503938
11500,-0.152628,51.503938
12000,-0.152628,51.503938
12500,-0.152628,51.503938
13000,-0.152628,51.503938
13500,-0.152628,51.503938
14000,-0.152628,51.503938
14500,-0.152628,51.503938
15000,-0.152628,51.503938
